Sujeto,Genero original,Genero,Edad,Estrato,Nivel educativo ,NivelEd,Tuvo accidente?,Accidente
120,Masculino,0,75,2,Primaria,0,1,1
121,Femenino,1,38,3,Tecnol¢gico,3,1,0
122,Masculino,0,18,3,Bachillerato,1,1,1
123,Masculino,0,80,4,Bachillerato,1,0,1
124,Masculino,0,67,3,Tecnol¢gico,3,0,1
125,Masculino,0,57,3,Tecnol¢gico,3,1,1
126,Masculino,0,82,3,Primaria,0,0,0
127,Masculino,0,51,1,Pregrado,4,1,0
128,Masculino,0,57,3,Tecnol¢gico,3,1,0
129,Femenino,1,25,3,Pregrado,4,1,1
130,Femenino,1,52,4,Maestr¡a,5,1,1
131,Masculino,0,22,3,Pregrado,4,1,0
132,Masculino,0,28,3,Pregrado,4,1,1
133,Masculino,0,20,3,Pregrado,4,1,1
134,Masculino,0,23,3,Pregrado,4,1,0
135,Femenino,1,41,3,Tecnol¢gico,3,1,1
136,Masculino,0,20,3,Pregrado,4,0,0
137,Masculino,0,19,3,Pregrado,4,1,0
138,Masculino,0,20,3,Pregrado,4,1,0
139,Masculino,0,62,4,Maestr¡a,5,1,1
140,Femenino,1,61,4,Maestr¡a,5,1,0
141,Masculino,0,21,3,Pregrado,4,0,1
142,Femenino,1,48,2,Tecnol¢gico,3,1,1
143,Femenino,1,90,2,Primaria,0,1,0
144,Masculino,0,22,3,Pregrado,4,1,0
145,Masculino,0,22,3,Pregrado,4,1,1
146,Masculino,0,21,3,Pregrado,4,1,0
147,Masculino,0,21,3,Pregrado,4,1,0
148,Masculino,0,21,3,Pregrado,4,1,0
149,Femenino,1,67,6,Maestr¡a,5,1,0
150,Masculino,0,23,3,Pregrado,4,1,0
151,Masculino,0,18,3,Pregrado,4,1,1
152,Masculino,0,20,5,Pregrado,4,1,0
153,Masculino,0,28,2,Tecnol¢gico,3,1,1
154,Masculino,0,23,3,Pregrado,4,1,0
155,Masculino,0,36,3,Tecnol¢gico,3,0,1
156,Femenino,1,28,3,Tecnol¢gico,3,1,1
157,Masculino,0,23,4,Pregrado,4,1,0
158,Masculino,0,25,5,Pregrado,4,1,1
159,Masculino,0,26,5,Pregrado,4,1,0
160,Masculino,0,19,3,Pregrado,4,1,1
161,Masculino,0,23,4,Pregrado,4,0,1
162,Masculino,0,18,4,Pregrado,4,1,0
163,Masculino,0,20,4,Pregrado,4,1,0
164,Masculino,0,18,4,Pregrado,4,1,0
165,Masculino,0,18,2,Pregrado,4,0,0
166,Masculino,0,34,3,tecnol¢gico,3,1,0
167,Masculino,0,43,4,Doctorado,6,0,0
